actoterrorista,adultomayor,afrodescendiente,amenaza,apoyo,articulacioninterinstitucional,atencionpsicologica,cabezadefamilia,curso_de_vida,declaracion,delitoscontralibertadein,departamento_procedencia,desplazamiento,despojoyabandonodebienes,discapacidad,edad,gestante,grupo_etario,homicidio,indigena,lgtbi,mes,mestizo,migrantesvenezolanos,minasantipersonal,municipio_procedencia,nucleo_numero,orden,orientacion,personas_nucleo,reclutamientoforzado,rrom,secuestro,sexo,tortura,vigencia,vinculaciondennagrujposarmados,auxilio_econ_mico_mes,hecho_victimizante,monto_asignado,n_cleo_familiar,personas,_merge
NO,NO,NO,NO,NO,NO,SI,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,ATLANTICO,SI,NO,NO,47,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,SABANA LARGA,SI,1,NO,2,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO A,2,both
NO,NO,NO,NO,NO,NO,SI,NO,Adultez,DEFENSORIA DEL PUEBLO,NO,ATLANTICO,NO,NO,NO,44,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,SABANA LARGA,NO,2,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,SI,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,SANTANDER,SI,NO,NO,19,SI,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,GIRON,SI,3,NO,3,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,SI,NO,Jovenes,DEFENSORIA DEL PUEBLO,NO,SANTANDER,SI,NO,NO,22,NO,18 a 28,NO,NO,NO,01 ENERO,NO,NO,NO,GIRON,NO,4,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Primera infancia,DEFENSORIA DEL PUEBLO,NO,SANTANDER,SI,NO,NO,1,NO,0 a 6,NO,NO,NO,01 ENERO,NO,NO,NO,GIRON,NO,5,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,SI,SI,Jovenes,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,25,NO,18 a 28,SI,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,SI,6,NO,4,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,423000.0,TIPO A,1,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,NO,NO,NO,17,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,7,NO,0,NO,NO,NO,Masculino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Adultez,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,NO,NO,NO,40,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,8,NO,0,NO,NO,NO,Femenino,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
NO,NO,NO,NO,NO,NO,NO,NO,Adolescencia,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,NO,NO,NO,16,NO,12 a 17,NO,NO,NO,01 ENERO,NO,NO,NO,CUCUTA,NO,9,NO,0,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,4,both
NO,NO,NO,NO,NO,NO,SI,SI,Adultez,DEFENSORIA DEL PUEBLO,NO,NORTE DE SANTANDER,SI,NO,NO,38,NO,29 a 59,NO,NO,NO,01 ENERO,NO,NO,NO,TIBU,SI,10,NO,3,NO,NO,NO,SIN INFORMACION,NO,2017,NO,02 FEBRERO,DESPLAZAMIENTO,687375.0,TIPO B,3,both
